Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Broad Property Type,Latitude,Longitude
"KLCC, Kuala Lumpur",1250000,3,3.0,2,Serviced Residence,1335,Fully Furnished,Serviced Residence,3.1578,101.7123
"Dutamas, Kuala Lumpur",1030000,3,4.0,2,Condominium (Corner),1875,Partly Furnished,Condo,3.1822,101.6654
"Bukit Jalil, Kuala Lumpur",900000,5,3.0,2,Condominium (Corner),1513,Partly Furnished,Condo,3.0593,101.6895
"Sri Petaling, Kuala Lumpur",385000,3,2.0,1,Apartment (Intermediate),904,Partly Furnished,Apartment,3.0671,101.6901
"Mont Kiara, Kuala Lumpur",1780000,5,4.0,2,Condominium (Corner),1830,Partly Furnished,Condo,3.1718,101.6501
"Desa ParkCity, Kuala Lumpur",1500000,5,4.0,2,Condominium (Corner),1798,Partly Furnished,Condo,3.1865,101.6341
"Damansara Heights, Kuala Lumpur",1550000,1,1.0,1,Serviced Residence (Intermediate),904,Fully Furnished,Serviced Residence,3.1412,101.6618
"Mont Kiara, Kuala Lumpur",1500000,4,4.0,3,Condominium,2163,Fully Furnished,Condo,3.1718,101.6501
"Bangsar South, Kuala Lumpur",490000,1,1.0,1,Serviced Residence,520,Fully Furnished,Serviced Residence,3.1124,101.6654
"Bukit Jalil, Kuala Lumpur",610000,4,2.0,2,Condominium (Intermediate),1236,Partly Furnished,Condo,3.0593,101.6895
"Dutamas, Kuala Lumpur",1035880,4,4.0,1,Condominium (EndLot),1876,Partly Furnished,Condo,3.1822,101.6654
"Ampang Hilir, Kuala Lumpur",460000,1,1.0,1,Serviced Residence,613,Fully Furnished,Serviced Residence,3.1532,101.7475
"KLCC, Kuala Lumpur",2400000,2,2.0,1,Serviced Residence,1006,Fully Furnished,Serviced Residence,3.1578,101.7123
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1438000,5,4.0,3,Condominium (Corner),2378,Partly Furnished,Condo,3.0925,101.6748
"Mont Kiara, Kuala Lumpur",1720000,5,6.0,3,Condominium (Corner),2020,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",2300000,1,2.0,1,Serviced Residence,1023,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",2700000,4,4.0,3,Serviced Residence (Corner),3095,Fully Furnished,Serviced Residence,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",1080000,2,2.0,1,Serviced Residence,896,Fully Furnished,Serviced Residence,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1150000,3,2.0,2,Condominium (Corner),1200,Partly Furnished,Condo,3.1718,101.6501
"Bukit Jalil, Kuala Lumpur",1070000,5,4.0,4,Condominium (EndLot),1772,Partly Furnished,Condo,3.0593,101.6895
"Bukit Jalil, Kuala Lumpur",930000,4,3.0,2,Condominium (EndLot),1513,Partly Furnished,Condo,3.0593,101.6895
"Bangsar South, Kuala Lumpur",780000,2,2.0,1,Serviced Residence (Corner),880,Partly Furnished,Serviced Residence,3.1124,101.6654
"KL City, Kuala Lumpur",1800000,2,2.0,1,Serviced Residence (Duplex),1244,Fully Furnished,Serviced Residence,3.1543,101.7155
"Mont Kiara, Kuala Lumpur",2300000,5,5.0,2,Condominium (Corner),2702,Partly Furnished,Condo,3.1718,101.6501
"Bangsar South, Kuala Lumpur",850000,3,2.0,1,Serviced Residence,1050,Fully Furnished,Serviced Residence,3.1124,101.6654
"KLCC, Kuala Lumpur",1698800,2,2.0,1,Serviced Residence (Intermediate),1227,Fully Furnished,Serviced Residence,3.1578,101.7123
"Sungai Besi, Kuala Lumpur",999000,5,4.0,2,3-sty Terrace/Link House (Intermediate),2512,Partly Furnished,Terrace/Link House,3.0645,101.7162
"KLCC, Kuala Lumpur",1500000,2,2.0,1,Serviced Residence (Corner),1022,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",2300000,1,2.0,1,Serviced Residence (Intermediate),1023,Partly Furnished,Serviced Residence,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",1830000,4,4.0,2,Condominium (Corner),1830,Partly Furnished,Condo,3.1718,101.6501
"Setapak, Kuala Lumpur",580000,5,2.0,2,Condominium (Corner),1550,Partly Furnished,Condo,3.2061,101.7271
"Mont Kiara, Kuala Lumpur",2180000,5,4.0,3,Condominium (Corner),3000,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",2030000,4,5.0,2,Condominium,2356,Fully Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",1799000,1,1.0,1,Serviced Residence,720,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1820000,3,2.0,2,Condominium (Corner),1159,Fully Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",1000000,4,3.0,2,Serviced Residence (Corner),1313,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1650000,4,5.0,2,Condominium (Corner),1905,Fully Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",2300000,1,1.0,2,Serviced Residence,1023,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",2055000,2,1.0,1,Serviced Residence (Intermediate),797,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1714000,1,1.0,1,Serviced Residence (Intermediate),700,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",2300000,4,4.0,3,Serviced Residence (Corner),3282,Partly Furnished,Serviced Residence,3.1578,101.7123
"Bukit Jalil, Kuala Lumpur",920000,5,3.0,2,Condominium,1513,Partly Furnished,Condo,3.0593,101.6895
"KLCC, Kuala Lumpur",2300000,1,1.0,2,Serviced Residence (Intermediate),1046,Partly Furnished,Serviced Residence,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",1850000,5,4.0,2,Condominium,1830,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",1783000,2,2.0,1,Condominium,976,Partly Furnished,Condo,3.1578,101.7123
"Dutamas, Kuala Lumpur",1180000,4,4.0,1,Condominium (Intermediate),1942,Partly Furnished,Condo,3.1822,101.6654
"Bukit Jalil, Kuala Lumpur",900000,5,3.0,2,Condominium (Corner),1513,Partly Furnished,Condo,3.0593,101.6895
"City Centre, Kuala Lumpur",1700000,3,2.0,1,Serviced Residence (Intermediate),1442,Fully Furnished,Serviced Residence,3.1554,101.714
"Bukit Jalil, Kuala Lumpur",630000,2,2.0,2,Serviced Residence,791,Partly Furnished,Serviced Residence,3.0593,101.6895
"KLCC, Kuala Lumpur",1780000,1,1.0,1,Serviced Residence (Corner),728,Fully Furnished,Serviced Residence,3.1578,101.7123
"Desa ParkCity, Kuala Lumpur",1050000,3,2.0,2,Condominium,1389,Partly Furnished,Condo,3.1865,101.6341
"Mont Kiara, Kuala Lumpur",2600000,5,4.0,3,Condominium,3041,Partly Furnished,Condo,3.1718,101.6501
"Bangsar South, Kuala Lumpur",630000,2,1.0,1,Serviced Residence,663,Partly Furnished,Serviced Residence,3.1124,101.6654
"Bukit Jalil, Kuala Lumpur",978000,5,3.0,2,Condominium,1513,Partly Furnished,Condo,3.0593,101.6895
"KLCC, Kuala Lumpur",2000000,1,1.0,1,Serviced Residence,1087,Fully Furnished,Serviced Residence,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",1630000,5,4.0,2,Condominium,2065,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",1250000,2,2.0,1,Condominium,736,Partly Furnished,Condo,3.1578,101.7123
"Bangsar South, Kuala Lumpur",630000,2,1.0,1,Serviced Residence,650,Fully Furnished,Serviced Residence,3.1124,101.6654
"KLCC, Kuala Lumpur",1350000,2,2.0,1,Serviced Residence,1050,Fully Furnished,Serviced Residence,3.1578,101.7123
"Bangsar South, Kuala Lumpur",490000,1,1.0,1,Serviced Residence (Intermediate),500,Fully Furnished,Serviced Residence,3.1124,101.6654
"Bangsar South, Kuala Lumpur",800000,2,2.0,1,Serviced Residence (Corner),825,Partly Furnished,Serviced Residence,3.1124,101.6654
"KLCC, Kuala Lumpur",1000000,1,1.0,1,Condominium (EndLot),657,Fully Furnished,Condo,3.1578,101.7123
"Sungai Besi, Kuala Lumpur",448800,3,3.0,1,Serviced Residence (Intermediate),1045,Unfurnished,Serviced Residence,3.0645,101.7162
"Mont Kiara, Kuala Lumpur",2480000,5,5.0,3,Condominium (Corner),3041,Partly Furnished,Condo,3.1718,101.6501
"KL Sentral, Kuala Lumpur",2716000,4,4.0,2,Serviced Residence (Corner),2227,Partly Furnished,Serviced Residence,3.1328,101.6851
"Taman Desa, Kuala Lumpur",500000,2,2.0,1,Serviced Residence (Corner),715,Partly Furnished,Serviced Residence,3.1026,101.6857
"Mont Kiara, Kuala Lumpur",2480000,5,5.0,3,Condominium,3041,Unfurnished,Condo,3.1718,101.6501
"Bukit Jalil, Kuala Lumpur",1060000,5,4.0,4,Condominium (Corner),1772,Partly Furnished,Condo,3.0593,101.6895
"Bukit Jalil, Kuala Lumpur",900000,5,3.0,3,Condominium (Corner),1513,Partly Furnished,Condo,3.0593,101.6895
"KLCC, Kuala Lumpur",1850000,3,1.0,1,Condominium (Corner),2174,Partly Furnished,Condo,3.1578,101.7123
"Sentul, Kuala Lumpur",668000,4,3.0,3,Condominium (Corner),1345,Fully Furnished,Condo,3.189,101.6896
"KLCC, Kuala Lumpur",1050000,4,3.0,2,Serviced Residence (Intermediate),1313,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",2580000,4,3.0,2,Condominium (Intermediate),2809,Partly Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",1100000,2,2.0,1,Serviced Residence (Corner),880,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",2900000,4,4.0,3,Condominium,2809,Fully Furnished,Condo,3.1578,101.7123
"Sentul, Kuala Lumpur",670000,3,2.0,2,Condominium,1085,Partly Furnished,Condo,3.189,101.6896
"Desa ParkCity, Kuala Lumpur",1350000,2,2.0,2,Condominium (Intermediate),1292,Partly Furnished,Condo,3.1865,101.6341
"KLCC, Kuala Lumpur",2300000,1,2.0,1,Serviced Residence,1023,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1900000,2,2.0,1,Condominium,915,Partly Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",1450000,2,2.0,2,Serviced Residence (Corner),1090,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1300000,1,1.0,1,Serviced Residence,925,Partly Furnished,Serviced Residence,3.1578,101.7123
"Bukit Jalil, Kuala Lumpur",1050000,5,4.0,4,Condominium,1772,Partly Furnished,Condo,3.0593,101.6895
"Bukit Jalil, Kuala Lumpur",1200000,6,4.0,4,Condominium,1930,Partly Furnished,Condo,3.0593,101.6895
"Bukit Jalil, Kuala Lumpur",900000,5,3.0,2,Condominium,1513,Partly Furnished,Condo,3.0593,101.6895
"Damansara Heights, Kuala Lumpur",2251800,3,4.0,2,Serviced Residence,1668,Partly Furnished,Serviced Residence,3.1412,101.6618
"Mont Kiara, Kuala Lumpur",1550000,4,4.0,2,Condominium,1496,Partly Furnished,Condo,3.1718,101.6501
"Setapak, Kuala Lumpur",780000,3,3.0,2,Condominium (Corner),1368,Partly Furnished,Condo,3.2061,101.7271
"Desa ParkCity, Kuala Lumpur",1380000,2,2.0,2,Condominium (Intermediate),1292,Partly Furnished,Condo,3.1865,101.6341
"Desa ParkCity, Kuala Lumpur",1798000,4,3.0,2,3-sty Terrace/Link House (Intermediate),2200,Partly Furnished,Terrace/Link House,3.1865,101.6341
"KLCC, Kuala Lumpur",1268000,3,3.0,1,Condominium (Corner),1619,Fully Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",2600000,4,4.0,3,Condominium,2809,Fully Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",2600000,2,2.0,1,Serviced Residence (Intermediate),1184,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1950000,2,2.0,1,Serviced Residence (Intermediate),1076,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1400000,2,2.0,1,Serviced Residence (Corner),1050,Fully Furnished,Serviced Residence,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",1800000,4,4.0,2,Condominium,1830,Partly Furnished,Condo,3.1718,101.6501
"Segambut, Kuala Lumpur",635000,4,4.0,2,Condominium (Corner),1643,Partly Furnished,Condo,3.189,101.6628
"KL City, Kuala Lumpur",1177000,2,1.0,1,Serviced Residence (Intermediate),717,Partly Furnished,Serviced Residence,3.1543,101.7155
"Wangsa Maju, Kuala Lumpur",700000,3,2.0,2,Condominium,1152,Partly Furnished,Condo,3.2041,101.7372
"KLCC, Kuala Lumpur",1300000,2,2.0,2,Condominium,871,Fully Furnished,Condo,3.1578,101.7123
"Sentul, Kuala Lumpur",960000,4,4.0,2,Condominium (Corner),1488,Unfurnished,Condo,3.189,101.6896
"KL City, Kuala Lumpur",490000,4,2.0,2,Condominium,1065,Unfurnished,Condo,3.1543,101.7155
"KLCC, Kuala Lumpur",1450000,2,1.0,1,Serviced Residence (EndLot),1050,Fully Furnished,Serviced Residence,3.1578,101.7123
"Desa ParkCity, Kuala Lumpur",2380000,5,4.0,3,Condominium (Corner),2454,Fully Furnished,Condo,3.1865,101.6341
"Bukit Jalil, Kuala Lumpur",1210000,6,6.0,4,3-sty Terrace/Link House (Intermediate),3400,Partly Furnished,Terrace/Link House,3.0593,101.6895
"Mont Kiara, Kuala Lumpur",1900000,5,4.0,2,Condominium (Corner),1830,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",2700000,2,2.0,2,Serviced Residence,1195,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1900000,3,2.0,1,Condominium,915,Fully Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",1000000,1,1.0,1,Condominium (EndLot),751,Partly Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",1000000,1,1.0,1,Condominium (EndLot),751,Partly Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",2000000,3,2.0,1,Serviced Residence (Corner),1350,Fully Furnished,Serviced Residence,3.1578,101.7123
"Batu Caves, Kuala Lumpur",676775,4,3.0,4,Serviced Residence (Intermediate),1265,Partly Furnished,Serviced Residence,3.236,101.6841
"Mont Kiara, Kuala Lumpur",1830000,5,4.0,2,Condominium (Corner),1830,Partly Furnished,Condo,3.1718,101.6501
"City Centre, Kuala Lumpur",1750000,3,3.0,1,Serviced Residence,1442,Partly Furnished,Serviced Residence,3.1554,101.714
"Desa ParkCity, Kuala Lumpur",1780000,4,3.0,2,2-sty Terrace/Link House (Intermediate),2400,Fully Furnished,Terrace/Link House,3.1865,101.6341
"Bukit Jalil, Kuala Lumpur",1200000,6,4.0,4,Condominium (Corner),1930,Partly Furnished,Condo,3.0593,101.6895
"KLCC, Kuala Lumpur",2300000,1,2.0,1,Serviced Residence,1046,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",2300000,1,1.0,2,Serviced Residence (Intermediate),1046,Partly Furnished,Serviced Residence,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",1600000,4,3.0,2,Condominium,1878,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1291000,6,4.0,3,Condominium,2069,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",880000,1,1.0,1,Serviced Residence,710,Fully Furnished,Serviced Residence,3.1578,101.7123
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",655000,4,2.0,2,Serviced Residence (Corner),1094,Partly Furnished,Serviced Residence,3.0925,101.6748
"Mont Kiara, Kuala Lumpur",1400000,4,4.0,2,Condominium,1496,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1100000,3,2.0,2,Condominium,1200,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",1238000,2,2.0,1,Condominium,736,Partly Furnished,Condo,3.1578,101.7123
"Bangsar South, Kuala Lumpur",750000,2,2.0,1,Serviced Residence (Intermediate),823,Partly Furnished,Serviced Residence,3.1124,101.6654
"Damansara Heights, Kuala Lumpur",2100000,4,4.0,2,Condominium (Corner),2153,Partly Furnished,Condo,3.1412,101.6618
"Mont Kiara, Kuala Lumpur",1500000,3,2.0,2,Condominium,1200,Fully Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",2300000,5,6.0,3,Condominium (Corner),2702,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",990000,4,3.0,2,Serviced Residence (Corner),1313,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",2700000,2,2.0,2,Serviced Residence (Corner),1184,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1900000,2,2.0,1,Serviced Residence (Intermediate),1087,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",2050000,4,5.0,2,Condominium,2356,Fully Furnished,Condo,3.1578,101.7123
"Bangsar South, Kuala Lumpur",1121800,3,2.0,1,Serviced Residence,1200,Fully Furnished,Serviced Residence,3.1124,101.6654
"KLCC, Kuala Lumpur",1506300,2,1.0,1,Serviced Residence (Intermediate),1020,Fully Furnished,Serviced Residence,3.1578,101.7123
"Bangsar, Kuala Lumpur",1530000,4,3.0,2,Condominium (Corner),2095,Fully Furnished,Condo,3.1283,101.6793
"Desa ParkCity, Kuala Lumpur",1480000,5,4.0,2,Condominium (Corner),1917,Partly Furnished,Condo,3.1865,101.6341
"Bangsar South, Kuala Lumpur",1050000,3,2.0,2,Condominium (Intermediate),1485,Fully Furnished,Condo,3.1124,101.6654
"Klcc, Kuala Lumpur",1200019,2,2.0,1,Condominium (Corner),577,Partly Furnished,Condo,3.1588,101.7133
"Mont Kiara, Kuala Lumpur",1820000,5,4.0,2,Condominium (Corner),1830,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1420000,4,4.0,2,Condominium,1499,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1830000,5,4.0,2,Condominium,1832,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",1680000,4,2.0,3,Condominium,1159,Fully Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",2210000,3,3.0,2,Condominium,1502,Fully Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",1420000,2,2.0,1,Condominium (Intermediate),976,Fully Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",1238000,2,2.0,1,Condominium,736,Partly Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",1139000,1,1.0,1,Condominium,751,Partly Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",2930000,2,2.0,2,Serviced Residence (Corner),1114,Fully Furnished,Serviced Residence,3.1578,101.7123
"Damansara Heights, Kuala Lumpur",1620000,2,2.0,1,Serviced Residence,1194,Partly Furnished,Serviced Residence,3.1412,101.6618
"Desa ParkCity, Kuala Lumpur",1300000,3,3.0,2,Condominium (Intermediate),1367,Partly Furnished,Condo,3.1865,101.6341
"Bangsar, Kuala Lumpur",1600000,3,2.0,2,Townhouse,2400,Partly Furnished,Townhouse,3.1283,101.6793
"Desa ParkCity, Kuala Lumpur",1730000,4,3.0,2,Condominium (Corner),1690,Fully Furnished,Condo,3.1865,101.6341
"Desa ParkCity, Kuala Lumpur",1500000,4,2.0,2,Condominium (Intermediate),1346,Fully Furnished,Condo,3.1865,101.6341
"Desa ParkCity, Kuala Lumpur",1500000,4,3.0,2,Condominium (Intermediate),1400,Partly Furnished,Condo,3.1865,101.6341
"Desa ParkCity, Kuala Lumpur",1180000,3,3.0,2,Condominium,1507,Partly Furnished,Condo,3.1865,101.6341
"KLCC, Kuala Lumpur",2950000,4,4.0,2,Condominium (Corner),2674,Partly Furnished,Condo,3.1578,101.7123
"Bangsar South, Kuala Lumpur",490000,1,1.0,1,Serviced Residence,520,Fully Furnished,Serviced Residence,3.1124,101.6654
"KLCC, Kuala Lumpur",1230000,4,4.0,2,Serviced Residence (Corner),1378,Fully Furnished,Serviced Residence,3.1578,101.7123
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",350000,3,2.0,1,Serviced Residence,950,Partly Furnished,Serviced Residence,3.0925,101.6748
"KLCC, Kuala Lumpur",1230000,1,1.0,1,Serviced Residence (Intermediate),850,Fully Furnished,Serviced Residence,3.1578,101.7123
"Desa ParkCity, Kuala Lumpur",1250000,3,2.0,2,Condominium (Intermediate),1303,Partly Furnished,Condo,3.1865,101.6341
"Desa ParkCity, Kuala Lumpur",1100000,3,3.0,2,Condominium (Intermediate),1378,Unfurnished,Condo,3.1865,101.6341
"KLCC, Kuala Lumpur",1300000,1,1.0,1,Serviced Residence (EndLot),925,Partly Furnished,Serviced Residence,3.1578,101.7123
"Bukit Jalil, Kuala Lumpur",438000,3,2.0,1,Apartment (Corner),1018,Partly Furnished,Apartment,3.0593,101.6895
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",530000,4,2.0,1,Serviced Residence (Corner),900,Partly Furnished,Serviced Residence,3.0925,101.6748
"Setiawangsa, Kuala Lumpur",590000,3,2.0,2,Condominium (Intermediate),1196,Partly Furnished,Condo,3.1814,101.7351
"KLCC, Kuala Lumpur",1000000,1,1.0,1,Condominium,751,Partly Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",1900000,3,2.0,1,Condominium (Corner),915,Partly Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",2400000,2,2.0,1,Serviced Residence,1006,Fully Furnished,Serviced Residence,3.1578,101.7123
"Setapak, Kuala Lumpur",380000,4,2.0,2,Condominium,950,Unfurnished,Condo,3.2061,101.7271
"KLCC, Kuala Lumpur",1198000,2,1.0,1,Serviced Residence (Corner),764,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1780000,1,1.0,1,Serviced Residence,728,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",2300000,1,1.0,1,Serviced Residence,1023,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1000000,1,1.0,1,Condominium,751,Partly Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",800000,3,3.0,1,Serviced Residence (Corner),1055,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1250000,4,4.0,2,Serviced Residence (EndLot),1378,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",2300000,1,2.0,1,Serviced Residence,1023,Partly Furnished,Serviced Residence,3.1578,101.7123
"Bukit Jalil, Kuala Lumpur",900000,5,3.0,3,Condominium (Corner),1513,Partly Furnished,Condo,3.0593,101.6895
"Mont Kiara, Kuala Lumpur",1850000,5,4.0,2,Condominium (Intermediate),1830,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",2400000,2,2.0,1,Serviced Residence,1006,Partly Furnished,Serviced Residence,3.1578,101.7123
"Wangsa Maju, Kuala Lumpur",1613300,4,5.0,3,Condominium,2336,Partly Furnished,Condo,3.2041,101.7372
"KLCC, Kuala Lumpur",2440000,1,2.0,1,Serviced Residence (Corner),1023,Fully Furnished,Serviced Residence,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",1850000,5,4.0,2,Condominium (Intermediate),1830,Partly Furnished,Condo,3.1718,101.6501
"KL Sentral, Kuala Lumpur",783990,1,1.0,1,Serviced Residence,650,Partly Furnished,Serviced Residence,3.1328,101.6851
"Chan Sow Lin, Kuala Lumpur",569200,2,2.0,2,Serviced Residence,888,Unfurnished,Serviced Residence,3.1224,101.7146
"Taman Tun Dr Ismail, Kuala Lumpur",1150000,3,2.0,1,Condominium (Corner),1560,Partly Furnished,Condo,3.1518,101.6292
"Mont Kiara, Kuala Lumpur",1800000,4,4.0,2,Condominium (Corner),2243,Partly Furnished,Condo,3.1718,101.6501
"Jalan Kuching, Kuala Lumpur",580000,3,2.0,1,Condominium (Corner),1590,Partly Furnished,Condo,3.1864,101.6752
"Mont Kiara, Kuala Lumpur",1518000,4,3.0,3,Condominium (Corner),2648,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",2220000,5,4.0,3,Condominium,2973,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1950000,4,4.0,3,Condominium,2535,Fully Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",1780000,3,3.0,2,Condominium,1232,Fully Furnished,Condo,3.1578,101.7123
"Bukit Jalil, Kuala Lumpur",900000,5,3.0,3,Condominium (Corner),1513,Partly Furnished,Condo,3.0593,101.6895
"KLCC, Kuala Lumpur",2480000,1,1.0,1,Serviced Residence (Intermediate),1023,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1050000,4,4.0,2,Serviced Residence (Corner),1313,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1833000,1,1.0,1,Serviced Residence,925,Fully Furnished,Serviced Residence,3.1578,101.7123
"Bukit Jalil, Kuala Lumpur",638000,2,1.0,1,Serviced Residence (Intermediate),721,Partly Furnished,Serviced Residence,3.0593,101.6895
"Mont Kiara, Kuala Lumpur",1415000,4,4.0,2,Condominium,1496,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",1380000,4,4.0,2,Serviced Residence (Corner),1701,Fully Furnished,Serviced Residence,3.1578,101.7123
"Taman Desa, Kuala Lumpur",628000,3,2.0,1,Condominium (Intermediate),1150,Partly Furnished,Condo,3.1026,101.6857
"Taman Desa, Kuala Lumpur",628000,3,2.0,1,Condominium (Intermediate),1150,Partly Furnished,Condo,3.1026,101.6857
"Mont Kiara, Kuala Lumpur",1590000,4,4.0,2,Condominium,1878,Partly Furnished,Condo,3.1718,101.6501
"Setapak, Kuala Lumpur",428000,4,2.0,2,Serviced Residence,918,Partly Furnished,Serviced Residence,3.2061,101.7271
"KLCC, Kuala Lumpur",1450000,2,2.0,1,Condominium,867,Fully Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",1000000,1,1.0,1,Condominium,751,Partly Furnished,Condo,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",2600000,5,5.0,3,Condominium (Corner),3478,Partly Furnished,Condo,3.1718,101.6501
"Taman Tun Dr Ismail, Kuala Lumpur",2750000,4,4.0,2,Serviced Residence,2426,Partly Furnished,Serviced Residence,3.1518,101.6292
"Setapak, Kuala Lumpur",428000,4,2.0,2,Serviced Residence,918,Unfurnished,Serviced Residence,3.2061,101.7271
"Sentul, Kuala Lumpur",770000,3,3.0,2,Condominium,1186,Partly Furnished,Condo,3.189,101.6896
"KLCC, Kuala Lumpur",1200000,2,2.0,1,Condominium (Intermediate),976,Partly Furnished,Condo,3.1578,101.7123
"Segambut, Kuala Lumpur",720000,4,3.0,2,Condominium (Corner),1577,Fully Furnished,Condo,3.189,101.6628
"Bukit Jalil, Kuala Lumpur",1150000,6,3.0,4,Condominium (Corner),1772,Partly Furnished,Condo,3.0593,101.6895
"Bukit Jalil, Kuala Lumpur",928000,4,3.0,2,Condominium (Corner),1513,Partly Furnished,Condo,3.0593,101.6895
"KLCC, Kuala Lumpur",1350000,2,2.0,1,Serviced Residence,900,Fully Furnished,Serviced Residence,3.1578,101.7123
