Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Broad Property Type,Latitude,Longitude
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",743000,4,3.0,2,Condominium,1088,Unfurnished,Condo,3.0925,101.6748
"Mont Kiara, Kuala Lumpur",2460000,5,5.0,3,Condominium (Corner),3000,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",2300000,5,5.0,3,Condominium (Corner),3000,Partly Furnished,Condo,3.1718,101.6501
"Cheras, Kuala Lumpur",485000,2,2.0,1,Serviced Residence,719,Fully Furnished,Serviced Residence,3.0958,101.7405
"Taman Tun Dr Ismail, Kuala Lumpur",850000,3,2.0,1,Serviced Residence (Intermediate),1022,Partly Furnished,Serviced Residence,3.1518,101.6292
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",655000,3,2.0,2,Condominium (Corner),948,Unfurnished,Condo,3.0925,101.6748
"KL City, Kuala Lumpur",780000,1,1.0,1,Serviced Residence,742,Fully Furnished,Serviced Residence,3.1543,101.7155
"Kepong, Kuala Lumpur",1600,3,2.0,1,Condominium,930,Partly Furnished,Condo,3.2126,101.637
"Dutamas, Kuala Lumpur",1090000,5,3.0,2,Condominium,1832,Fully Furnished,Condo,3.1822,101.6654
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",660000,4,4.0,2,Condominium (Corner),1328,Unfurnished,Condo,3.0925,101.6748
"Dutamas, Kuala Lumpur",520000,3,2.0,1,Condominium (Corner),1100,Unfurnished,Condo,3.1822,101.6654
"Mont Kiara, Kuala Lumpur",1880000,5,5.0,2,2-sty Terrace/Link House (Intermediate),2447,Fully Furnished,Terrace/Link House,3.1718,101.6501
"KL Eco City, Kuala Lumpur",2000000,3,2.0,1,Serviced Residence (Intermediate),1245,Partly Furnished,Serviced Residence,3.1173,101.6757
"Mont Kiara, Kuala Lumpur",890000,3,2.0,1,Condominium,1280,Fully Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1000000,4,3.0,1,Condominium,1550,Fully Furnished,Condo,3.1718,101.6501
"Cheras, Kuala Lumpur",280000,3,2.0,1,Condominium (Intermediate),861,Partly Furnished,Condo,3.0958,101.7405
"Sri Hartamas, Kuala Lumpur",610000,3,2.0,1,Condominium (Intermediate),1100,Fully Furnished,Condo,3.1665,101.6575
"Setapak, Kuala Lumpur",599000,4,2.0,2,Condominium (Intermediate),1473,Partly Furnished,Condo,3.2061,101.7271
"KL City, Kuala Lumpur",1200000,2,2.0,1,Serviced Residence,915,Partly Furnished,Serviced Residence,3.1543,101.7155
"Bukit Jalil, Kuala Lumpur",620000,3,2.0,2,Condominium (Corner),1404,Partly Furnished,Condo,3.0593,101.6895
"Sentul, Kuala Lumpur",680000,3,2.0,1,Condominium (Corner),1163,Partly Furnished,Condo,3.189,101.6896
"Setapak, Kuala Lumpur",458000,4,2.0,2,Condominium (Intermediate),1313,Partly Furnished,Condo,3.2061,101.7271
"Desa ParkCity, Kuala Lumpur",1500000,4,3.0,2,Condominium (Intermediate),1572,Fully Furnished,Condo,3.1865,101.6341
"Batu Caves, Kuala Lumpur",520000,3,2.0,1,Condominium (Intermediate),1130,Fully Furnished,Condo,3.236,101.6841
"Cheras, Kuala Lumpur",566100,3,2.0,2,Condominium,990,Unfurnished,Condo,3.0958,101.7405
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",380000,3,2.0,1,Condominium (Intermediate),1100,Partly Furnished,Condo,3.0925,101.6748
"Cheras, Kuala Lumpur",470000,3,2.0,2,Condominium,1018,Unfurnished,Condo,3.0958,101.7405
"Mont Kiara, Kuala Lumpur",598000,1,1.0,1,Serviced Residence,750,Fully Furnished,Serviced Residence,3.1718,101.6501
"Bukit Jalil, Kuala Lumpur",1300000,6,15.0,2,3-sty Terrace/Link House,3630,Partly Furnished,Terrace/Link House,3.0593,101.6895
"Batu Caves, Kuala Lumpur",2000,2,2.0,1,Serviced Residence,964,Fully Furnished,Serviced Residence,3.236,101.6841
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",580000,2,2.0,1,Serviced Residence,852,Partly Furnished,Serviced Residence,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1600,3,2.0,1,Serviced Residence,852,Partly Furnished,Serviced Residence,3.0925,101.6748
"Mont Kiara, Kuala Lumpur",600000,1,1.0,1,Serviced Residence,462,Fully Furnished,Serviced Residence,3.1718,101.6501
"Bangsar South, Kuala Lumpur",728100,1,1.0,1,Serviced Residence,647,Partly Furnished,Serviced Residence,3.1124,101.6654
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",2000,2,2.0,1,Serviced Residence,775,Partly Furnished,Serviced Residence,3.0925,101.6748
"Mont Kiara, Kuala Lumpur",1420000,4,4.0,2,Condominium (Corner),2002,Partly Furnished,Condo,3.1718,101.6501
